135652,139312,139672,139632,139432,102632,140332,139252,102672,134952,130412,33512,102752,102112,78532,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139332,102632,134952,3054,102792,3527,6446,102252,102392,6463,102512,1530,1655,8792,1238,13032,11912,2604,6423,2580,6337,5786,5951,5525,5543,5057,3457,3450,5056,3451,2720,3234,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135652,5978,140552,3248,2746,6325,929,1590,1658,800,9,3527,4304,2601,5058,5448,5747,476,5038,1884,2025,1739,1422,1232,4812,6421,6447,6301,7452,6339,2144,685,5063,6341,844,5070,5030,2742,5795,5938,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135652,2430940,134932,1177,139252,130412,5989,79472,5977,3398,1551,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140772,139252,1106,102392,5473,102512,3428,6446,208,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5761,11932,877,2338,6463,6011,5796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3784,965,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5707,33512,139252,130412,78552,2764,2932,6349,102252,103032,102592,6304,3495,8772,1749,289,5997,2676,8932,2576,8792,12492,77972,8752,46932,9052,80092,5776,6330,5998,439,5800,5996,2743,6339,864,11912,6301,4188,3756,6481,5793,6310,2144,1537,5747,1587,3428,2575,5769,1732,324,1558,2843,1586,1512,184,959,2539,1609,1607,1605,1603,1602,1600,1345,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139612,134912,134932,6422,139252,5978,130412,5747,1302,8892,1699,6427,5797,1625,184,6301,5057,5056,77552,1540,1626,6339,1672,3467,6445,5997,8932,3461,6470,6446,687,6432,6420,5989,2598,5542,1624,3287,5802,6340,6330,5043,5998,5027,842,3398,6000,1665,3462,5530,902,157,5806,5523,3516,5047,3530,5020,5022,5053,5031,5045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139252,135652,134912,134932,139292,130412,102792,8892,102552,102252,102112,102412,102312,102392,102232,102752,102292,102512,3495,8772,5800,11932,11672,8812,8752,8792,12872,9052,13032,8932,12592,12392,11712,11912,6301,5017,6339,6330,6310,5789,5550,3462,5797,5069,3450,5057,5058,5056,5022,5020,5062,3461,5018,5045,3494,3464,3451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135652,139692,139292,33512,130412,8892,102252,78552,79312,102392,102312,5489,3428,6434,8792,78512,78352,8772,78192,78432,11932,79472,78572,8812,77552,9092,79332,7452,2297,12872,13032,12592,12392,6463,6301,6446,6420,5017,1553,5788,5997,5800,5795,5070,5793,2547,1336,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139312,139672,134912,139632,5523,134932,139252,139612,134952,5630,5692,11712,408,2941,3852,3851,9032,6311,6475,5800,5761,4187,102592,5997,102392,5016,5018,5043,809,177,6330,6312,3213,2614,77972,78572,2721,2729,2744,1530,782,3116,311,1655,8932,3120,1540,4155,2587,2667,5996,6326,1512,6423,5793,3068,5034,6009,102112,6446,11732,1539,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139252,140772,134932,33512,106512,102252,102312,102392,102512,8792,5800,2890,6301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134912,139252,33512,5978,102792,844,1650,842,79332,102552,8892,2539,102392,8752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,5800,3450,3461,3494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5978,11712,8892,6479,5004,3287,6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5978,3495,1512,1559,5793,79292,1177,12492,3489,3440,184,13032,8932,11712,11912,4388,990,1672,3490,3461,6434,289,290,3361,3437,2580,3436,5996,818,835,4680,3106,5412,687,5997,5800,2660,2661,4187,4188,3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139312,134912,138832,139632,134932,139272,139252,139392,130412,33512,5989,1635,1539,103032,451,12392,13032,1672,8752,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135652,134932,207,139252,53,1559,140552,6339,1588,5997,1089,8892,1512,102392,102312,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139312,134912,139452,134932,139272,139612,79412,139392,5978,1177,902,33512,121632,3589,984,5523,1816,5542,2742,5534,102792,6420,102392,8892,980,102252,102112,10592,78552,102892,102732,853,2910,6470,6312,8932,8992,5798,102152,102772,78112,102292,5454,2613,2765,5558,106512,78352,11932,991,6430,119312,5520,5028,78512,191,1512,78792,5621,6340,5029,6301,5747,3115,5525,893,78372,4070,75452,79472,78572,11672,78812,77552,77692,12492,77812,77972,79332,8752,6692,6000,79372,4340,6328,3463,177,8792,12872,9052,13032,5963,12592,12392,11712,9152,1732,4555,190,2615,2683,6339,1653,530,2599,6448,6463,3242,413,6346,6341,5992,6311,6310,4367,5998,5556,3462,2783,2576,1071,5485,5043,6345,1345,3428,2721,5996,1270,1540,1553,1574,687,,,,,,,,,,,,,,,,,,,,
